Response ID, Timeline Used Value, Timeline Used Value Decrypted, Timeline Type (TimelinesUsed), Timeline Type (User Entry), First Click Time (Seconds), Last Click Time (Seconds), Time Between First and Last Click (Seconds), Question, Video Name, Their Answer, Correct Answer, Is Correct, Time Viewing Footage
151490592, 69791, 423, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), 19, 61, 42, Task: During which timeframe do you see this man unloading a blue shoulder bag from his car?, VIRAT_S_0100, 48:20 – 48:30, 48:20 – 48:30, True, Never
151490592, 73603, 4235, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), 29, 68, 39, Task: How long does this CHICANO employee take a break for?, VIRAT_S_0102, About four minutes, About four minutes, True, Never
151490592, 73603, 4235, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), 29, 68, 39, Task: During which timeframe does the owner of this golf cart return and drive away?, VIRAT_S_0102, 22:00 – 23:00, 22:00 – 23:00, True, Never
151490592, 69372, 4, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), 51, 157, 106, Task: How long does the blue pickup truck remain parked after two men in white shirts begin unloading objects from the trunk of the blue pickup truck?, VIRAT_S_0400, About six minutes, About six minutes, True, Never
151490592, 69372, 4, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), 51, 157, 106, Task: During which timeframe does a couple run across the screen starting from this house carrying a pizza?, VIRAT_S_0400, 50:00 – 51:00, 50:00 – 51:00, True, Never
151490592, 111719, 42351, Timeline 1 (Base Interface), Timeline 1 (Base Interface), 10, 64, 54, Task: Order the following three events: - A person carrying a backpack rode a bike on the pedestrian sidewalk.:A person wearing pants ran to catch the green light while crossing the street.:A construction worker waved their hands to their colleagues., VIRAT_S_0500, 1:2:3, 2:1:3, False, Never
151490592, 111719, 42351, Timeline 1 (Base Interface), Timeline 1 (Base Interface), 10, 64, 54, Task: What is the object unloaded from the white truck with a flatboard trailer?, VIRAT_S_0500, I could not find the answer within five minutes., A slow-down sign, False, Never
151485088, 69403, 35, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), 202, 262, 60, Task: The driver of this car gets out of the car and has a conversation with another person.What is the car that the other person gets into later?, VIRAT_S_0002, Car 2, Car 1, False, Yearly
151485088, 69403, 35, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), 202, 262, 60, Task: During which timeframe do you see this man unloading a blue shoulder bag from his car?, VIRAT_S_0002, 43:00 – 45:00, 43:00 – 45:00, True, Yearly
151485088, 104582, 35214, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), 128, 227, 99, Task: How long do these two people stay in the building?, VIRAT_S_0100, Less than two minutes, Less than two minutes, True, Yearly
151485088, 104582, 35214, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), 128, 227, 99, Task: During which timeframe do you see this man unloading a blue shoulder bag from his car?, VIRAT_S_0100, 48:20 – 48:30, 48:20 – 48:30, True, Yearly
151485088, 69371, 3, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), 151, 241, 90, Task: How long does this CHICANO employee take a break for?, VIRAT_S_0102, About four minutes, About four minutes, True, Yearly
151485088, 69371, 3, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), 151, 241, 90, Task: During which timeframe does the owner of this golf cart return and drive away?, VIRAT_S_0102, 22:00 – 23:00, 22:00 – 23:00, True, Yearly
151485088, 72889, 3521, Timeline 1 (Base Interface), Timeline 1 (Base Interface), 50, 143, 93, Task: How long does the blue pickup truck remain parked after two men in white shirts begin unloading objects from the trunk of the blue pickup truck?, VIRAT_S_0400, I could not find the answer within five minutes., About six minutes, False, Yearly
151485088, 72889, 3521, Timeline 1 (Base Interface), Timeline 1 (Base Interface), 50, 143, 93, Task: During which timeframe does a couple run across the screen starting from this house carrying a pizza?, VIRAT_S_0400, I could not find the answer within five minutes., 50:00 – 51:00, False, Yearly
151485088, 69720, 352, Timeline 2 (Density Graph), Timeline 2 (Density Graph), 76, 130, 54, Task: Order the following three events: - A person carrying a backpack rode a bike on the pedestrian sidewalk.:A person wearing pants ran to catch the green light while crossing the street.:A construction worker waved their hands to their colleagues., VIRAT_S_0500, 2:1:3, 2:1:3, True, Yearly
151485088, 69720, 352, Timeline 2 (Density Graph), Timeline 2 (Density Graph), 76, 130, 54, Task: What is the object unloaded from the white truck with a flatboard trailer?, VIRAT_S_0500, A slow-down sign, A slow-down sign, True, Yearly
151482337, 69371, 3, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), 197, 298, 101, Task: The driver of this car gets out of the car and has a conversation with another person.What is the car that the other person gets into later?, VIRAT_S_0002, I could not find the answer within five minutes., Car 1, False, Never
151482337, 69371, 3, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), 197, 298, 101, Task: During which timeframe do you see this man unloading a blue shoulder bag from his car?, VIRAT_S_0002, 43:00 – 45:00, 43:00 – 45:00, True, Never
151482337, 103493, 34125, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), 63, 137, 74, Task: How long do these two people stay in the building?, VIRAT_S_0100, I could not find the answer within five minutes., Less than two minutes, False, Never
151482337, 103493, 34125, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), 63, 137, 74, Task: During which timeframe do you see this man unloading a blue shoulder bag from his car?, VIRAT_S_0100, 48:20 – 48:30, 48:20 – 48:30, True, Never
151482337, 69402, 34, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), 54, 115, 61, Task: How long does this CHICANO employee take a break for?, VIRAT_S_0102, About four minutes, About four minutes, True, Never
151482337, 69402, 34, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), 54, 115, 61, Task: During which timeframe does the owner of this golf cart return and drive away?, VIRAT_S_0102, 22:00 – 23:00, 22:00 – 23:00, True, Never
151482337, 69709, 341, Timeline 1 (Base Interface), Timeline 1 (Base Interface), 27, 72, 45, Task: How long does the blue pickup truck remain parked after two men in white shirts begin unloading objects from the trunk of the blue pickup truck?, VIRAT_S_0400, About six minutes, About six minutes, True, Never
151482337, 69709, 341, Timeline 1 (Base Interface), Timeline 1 (Base Interface), 27, 72, 45, Task: During which timeframe does a couple run across the screen starting from this house carrying a pizza?, VIRAT_S_0400, I could not find the answer within five minutes., 50:00 – 51:00, False, Never
151482337, 72780, 3412, Timeline 2 (Density Graph), Timeline 2 (Density Graph), 83, 148, 65, Task: Order the following three events: - A person carrying a backpack rode a bike on the pedestrian sidewalk.:A person wearing pants ran to catch the green light while crossing the street.:A construction worker waved their hands to their colleagues., VIRAT_S_0500, 2:1:3, 2:1:3, True, Never
151482337, 72780, 3412, Timeline 2 (Density Graph), Timeline 2 (Density Graph), 83, 148, 65, Task: What is the object unloaded from the white truck with a flatboard trailer?, VIRAT_S_0500, A slow-down sign, A slow-down sign, True, Never
151473277, 69370, 2, Timeline 2 (Density Graph), Timeline 1 (Base Interface), 44, 149, 105, Task: The driver of this car gets out of the car and has a conversation with another person.What is the car that the other person gets into later?, VIRAT_S_0002, I could not find the answer within five minutes., Car 1, False, Never
151473277, 69370, 2, Timeline 2 (Density Graph), Timeline 1 (Base Interface), 44, 149, 105, Task: During which timeframe do you see this man unloading a blue shoulder bag from his car?, VIRAT_S_0002, 43:00 – 45:00, 43:00 – 45:00, True, Never
151473277, 69393, 25, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), 5, 93, 88, Task: How long do these two people stay in the building?, VIRAT_S_0100, I could not find the answer within five minutes., Less than two minutes, False, Never
151473277, 69393, 25, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), 5, 93, 88, Task: During which timeframe do you see this man unloading a blue shoulder bag from his car?, VIRAT_S_0100, 48:20 – 48:30, 48:20 – 48:30, True, Never
151473277, 69621, 253, Timeline 3 (Event Blocks), Timeline 4 (Density Graph + Event Blocks), 25, 74, 49, Task: How long does this CHICANO employee take a break for?, VIRAT_S_0102, About four minutes, About four minutes, True, Never
151473277, 69621, 253, Timeline 3 (Event Blocks), Timeline 4 (Density Graph + Event Blocks), 25, 74, 49, Task: During which timeframe does the owner of this golf cart return and drive away?, VIRAT_S_0102, 22:00 – 23:00, 22:00 – 23:00, True, Never
151473277, 71902, 2534, Timeline 4 (Density Graph + Event Blocks), Timeline 3 (Event Blocks), 79, 137, 58, Task: How long does the blue pickup truck remain parked after two men in white shirts begin unloading objects from the trunk of the blue pickup truck?, VIRAT_S_0400, I could not find the answer within five minutes., About six minutes, False, Never
151473277, 71902, 2534, Timeline 4 (Density Graph + Event Blocks), Timeline 3 (Event Blocks), 79, 137, 58, Task: During which timeframe does a couple run across the screen starting from this house carrying a pizza?, VIRAT_S_0400, 50:00 – 51:00, 50:00 – 51:00, True, Never
151473277, 69370, 2, Timeline 2 (Density Graph), Timeline 3 (Event Blocks), 115, 215, 100, Task: Order the following three events: - A person carrying a backpack rode a bike on the pedestrian sidewalk.:A person wearing pants ran to catch the green light while crossing the street.:A construction worker waved their hands to their colleagues., VIRAT_S_0500, 2:1:3, 2:1:3, True, Never
151473277, 69370, 2, Timeline 2 (Density Graph), Timeline 3 (Event Blocks), 115, 215, 100, Task: What is the object unloaded from the white truck with a flatboard trailer?, VIRAT_S_0500, A slow-down sign, A slow-down sign, True, Never
151472203, 123680, 54312, Timeline 2 (Density Graph), Timeline 2 (Density Graph), 80, 179, 99, Task: The driver of this car gets out of the car and has a conversation with another person.What is the car that the other person gets into later?, VIRAT_S_0002, Car 1, Car 1, True, Never
151472203, 123680, 54312, Timeline 2 (Density Graph), Timeline 2 (Density Graph), 80, 179, 99, Task: During which timeframe do you see this man unloading a blue shoulder bag from his car?, VIRAT_S_0002, 43:00 – 45:00, 43:00 – 45:00, True, Never
151472203, 74799, 5431, Timeline 1 (Base Interface), Timeline 1 (Base Interface), 68, 373, 305, Task: How long do these two people stay in the building?, VIRAT_S_0100, Less than two minutes, Less than two minutes, True, Never
151472203, 74799, 5431, Timeline 1 (Base Interface), Timeline 1 (Base Interface), 68, 373, 305, Task: During which timeframe do you see this man unloading a blue shoulder bag from his car?, VIRAT_S_0100, 48:20 – 48:30, 48:20 – 48:30, True, Never
151472203, 69373, 5, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), 165, 264, 99, Task: How long does this CHICANO employee take a break for?, VIRAT_S_0102, About four minutes, About four minutes, True, Never
151472203, 69373, 5, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), 165, 264, 99, Task: During which timeframe does the owner of this golf cart return and drive away?, VIRAT_S_0102, 22:00 – 23:00, 22:00 – 23:00, True, Never
151472203, 69422, 54, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), 53, 129, 76, Task: How long does the blue pickup truck remain parked after two men in white shirts begin unloading objects from the trunk of the blue pickup truck?, VIRAT_S_0400, About six minutes, About six minutes, True, Never
151472203, 69422, 54, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), 53, 129, 76, Task: During which timeframe does a couple run across the screen starting from this house carrying a pizza?, VIRAT_S_0400, 50:00 – 51:00, 50:00 – 51:00, True, Never
151472203, 69911, 543, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), 156, 285, 129, Task: Order the following three events: - A person carrying a backpack rode a bike on the pedestrian sidewalk.:A person wearing pants ran to catch the green light while crossing the street.:A construction worker waved their hands to their colleagues., VIRAT_S_0500, 2:1:3, 2:1:3, True, Never
151472203, 69911, 543, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), 156, 285, 129, Task: What is the object unloaded from the white truck with a flatboard trailer?, VIRAT_S_0500, A slow-down sign, A slow-down sign, True, Never
151454198, 69373, 5, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), 768, 892, 124, Task: The driver of this car gets out of the car and has a conversation with another person.What is the car that the other person gets into later?, VIRAT_S_0002, Car 1, Car 1, True, Yearly
151454198, 69373, 5, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), 768, 892, 124, Task: During which timeframe do you see this man unloading a blue shoulder bag from his car?, VIRAT_S_0002, 43:00 – 45:00, 43:00 – 45:00, True, Yearly
151454198, 69420, 52, Timeline 2 (Density Graph), Timeline 2 (Density Graph), 811, 848, 37, Task: How long do these two people stay in the building?, VIRAT_S_0100, I could not find the answer within five minutes., Less than two minutes, False, Yearly
151454198, 69420, 52, Timeline 2 (Density Graph), Timeline 2 (Density Graph), 811, 848, 37, Task: During which timeframe do you see this man unloading a blue shoulder bag from his car?, VIRAT_S_0100, I could not find the answer within five minutes., 48:20 – 48:30, False, Yearly
151454198, 121511, 52143, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), 92, 169, 77, Task: How long does this CHICANO employee take a break for?, VIRAT_S_0102, About four minutes, About four minutes, True, Yearly
151454198, 121511, 52143, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), 92, 169, 77, Task: During which timeframe does the owner of this golf cart return and drive away?, VIRAT_S_0102, 22:00 – 23:00, 22:00 – 23:00, True, Yearly
151454198, 69889, 521, Timeline 1 (Base Interface), Timeline 1 (Base Interface), 47, 150, 103, Task: How long does the blue pickup truck remain parked after two men in white shirts begin unloading objects from the trunk of the blue pickup truck?, VIRAT_S_0400, About six minutes, About six minutes, True, Yearly
151454198, 69889, 521, Timeline 1 (Base Interface), Timeline 1 (Base Interface), 47, 150, 103, Task: During which timeframe does a couple run across the screen starting from this house carrying a pizza?, VIRAT_S_0400, I could not find the answer within five minutes., 50:00 – 51:00, False, Yearly
151454198, 74582, 5214, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), 287, 335, 48, Task: Order the following three events: - A person carrying a backpack rode a bike on the pedestrian sidewalk.:A person wearing pants ran to catch the green light while crossing the street.:A construction worker waved their hands to their colleagues., VIRAT_S_0500, 2:1:3, 2:1:3, True, Yearly
151454198, 74582, 5214, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), 287, 335, 48, Task: What is the object unloaded from the white truck with a flatboard trailer?, VIRAT_S_0500, A slow-down sign, A slow-down sign, True, Yearly
151387413, 69511, 143, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), 148, 402, 254, Task: The driver of this car gets out of the car and has a conversation with another person.What is the car that the other person gets into later?, VIRAT_S_0002, I could not find the answer within five minutes., Car 1, False, Monthly
151387413, 69511, 143, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), 148, 402, 254, Task: During which timeframe do you see this man unloading a blue shoulder bag from his car?, VIRAT_S_0002, 43:00 – 45:00, 43:00 – 45:00, True, Monthly
151387413, 83693, 14325, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), 66, 126, 60, Task: How long do these two people stay in the building?, VIRAT_S_0100, I could not find the answer within five minutes., Less than two minutes, False, Monthly
151387413, 83693, 14325, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), 66, 126, 60, Task: During which timeframe do you see this man unloading a blue shoulder bag from his car?, VIRAT_S_0100, 48:20 – 48:30, 48:20 – 48:30, True, Monthly
151387413, 70800, 1432, Timeline 2 (Density Graph), Timeline 2 (Density Graph), 87, 153, 66, Task: How long does this CHICANO employee take a break for?, VIRAT_S_0102, About four minutes, About four minutes, True, Monthly
151387413, 70800, 1432, Timeline 2 (Density Graph), Timeline 2 (Density Graph), 87, 153, 66, Task: During which timeframe does the owner of this golf cart return and drive away?, VIRAT_S_0102, 22:00 – 23:00, 22:00 – 23:00, True, Monthly
151387413, 69369, 1, Timeline 1 (Base Interface), Timeline 1 (Base Interface), 80, 197, 117, Task: How long does the blue pickup truck remain parked after two men in white shirts begin unloading objects from the trunk of the blue pickup truck?, VIRAT_S_0400, About six minutes, About six minutes, True, Monthly
151387413, 69369, 1, Timeline 1 (Base Interface), Timeline 1 (Base Interface), 80, 197, 117, Task: During which timeframe does a couple run across the screen starting from this house carrying a pizza?, VIRAT_S_0400, 50:00 – 51:00, 50:00 – 51:00, True, Monthly
151387413, 69382, 14, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), 55, 487, 432, Task: Order the following three events: - A person carrying a backpack rode a bike on the pedestrian sidewalk.:A person wearing pants ran to catch the green light while crossing the street.:A construction worker waved their hands to their colleagues., VIRAT_S_0500, 3:2:1, 2:1:3, False, Monthly
151387413, 69382, 14, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), 55, 487, 432, Task: What is the object unloaded from the white truck with a flatboard trailer?, VIRAT_S_0500, A slow-down sign, A slow-down sign, True, Monthly
151384905, 69393, 25, Timeline 5 (Event Thumbnails), Timeline 4 (Density Graph + Event Blocks), 17, 180, 163, Task: The driver of this car gets out of the car and has a conversation with another person.What is the car that the other person gets into later?, VIRAT_S_0002, Car 1, Car 1, True, Never
151384905, 69393, 25, Timeline 5 (Event Thumbnails), Timeline 4 (Density Graph + Event Blocks), 17, 180, 163, Task: During which timeframe do you see this man unloading a blue shoulder bag from his car?, VIRAT_S_0002, 32:00 – 35:00, 43:00 – 45:00, False, Never
151384905, 69370, 2, Timeline 2 (Density Graph), Timeline 1 (Base Interface), 210, 309, 99, Task: How long do these two people stay in the building?, VIRAT_S_0100, Less than eight minutes, Less than two minutes, False, Never
151384905, 69370, 2, Timeline 2 (Density Graph), Timeline 1 (Base Interface), 210, 309, 99, Task: During which timeframe do you see this man unloading a blue shoulder bag from his car?, VIRAT_S_0100, 48:20 – 48:30, 48:20 – 48:30, True, Never
151384905, 69619, 251, Timeline 1 (Base Interface), Timeline 1 (Base Interface), 46, 128, 82, Task: How long does this CHICANO employee take a break for?, VIRAT_S_0102, About four minutes, About four minutes, True, Never
151384905, 69619, 251, Timeline 1 (Base Interface), Timeline 1 (Base Interface), 46, 128, 82, Task: During which timeframe does the owner of this golf cart return and drive away?, VIRAT_S_0102, 21:00 – 22:00, 22:00 – 23:00, False, Never
151384905, 69393, 25, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), 1, 42, 41, Task: How long does the blue pickup truck remain parked after two men in white shirts begin unloading objects from the trunk of the blue pickup truck?, VIRAT_S_0400, About twelve minutes, About six minutes, False, Never
151384905, 69393, 25, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), 1, 42, 41, Task: During which timeframe does a couple run across the screen starting from this house carrying a pizza?, VIRAT_S_0400, 50:00 – 51:00, 50:00 – 51:00, True, Never
151384905, 7188171881, 7188102513, Timeline 3 (Event Blocks), Timeline 4 (Density Graph + Event Blocks), 61, 150, 89, Task: Order the following three events: - A person carrying a backpack rode a bike on the pedestrian sidewalk.:A person wearing pants ran to catch the green light while crossing the street.:A construction worker waved their hands to their colleagues., VIRAT_S_0500, 2:1:3, 2:1:3, True, Never
151384905, 7188171881, 7188102513, Timeline 3 (Event Blocks), Timeline 4 (Density Graph + Event Blocks), 61, 150, 89, Task: What is the object unloaded from the white truck with a flatboard trailer?, VIRAT_S_0500, A slow-down sign, A slow-down sign, True, Never
151381288, 69500, 132, Timeline 2 (Density Graph), Timeline 2 (Density Graph), 86, 218, 132, Task: The driver of this car gets out of the car and has a conversation with another person.What is the car that the other person gets into later?, VIRAT_S_0002, I could not find the answer within five minutes., Car 1, False, Never
151381288, 69500, 132, Timeline 2 (Density Graph), Timeline 2 (Density Graph), 86, 218, 132, Task: During which timeframe do you see this man unloading a blue shoulder bag from his car?, VIRAT_S_0002, 43:00 – 45:00, 43:00 – 45:00, True, Never
151381288, 82622, 13254, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), 366, 467, 101, Task: How long do these two people stay in the building?, VIRAT_S_0100, Less than two minutes, Less than two minutes, True, Never
151381288, 82622, 13254, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), 366, 467, 101, Task: During which timeframe do you see this man unloading a blue shoulder bag from his car?, VIRAT_S_0100, 48:20 – 48:30, 48:20 – 48:30, True, Never
151381288, 70693, 1325, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), 30, 100, 70, Task: How long does this CHICANO employee take a break for?, VIRAT_S_0102, About four minutes, About four minutes, True, Never
151381288, 70693, 1325, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), 30, 100, 70, Task: During which timeframe does the owner of this golf cart return and drive away?, VIRAT_S_0102, 22:00 – 23:00, 22:00 – 23:00, True, Never
151381288, 69369, 1, Timeline 1 (Base Interface), Timeline 1 (Base Interface), 62, 197, 135, Task: How long does the blue pickup truck remain parked after two men in white shirts begin unloading objects from the trunk of the blue pickup truck?, VIRAT_S_0400, About six minutes, About six minutes, True, Never
151381288, 69369, 1, Timeline 1 (Base Interface), Timeline 1 (Base Interface), 62, 197, 135, Task: During which timeframe does a couple run across the screen starting from this house carrying a pizza?, VIRAT_S_0400, 50:00 – 51:00, 50:00 – 51:00, True, Never
151381288, 69381, 13, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), 105, 163, 58, Task: Order the following three events: - A person carrying a backpack rode a bike on the pedestrian sidewalk.:A person wearing pants ran to catch the green light while crossing the street.:A construction worker waved their hands to their colleagues., VIRAT_S_0500, 2:1:3, 2:1:3, True, Never
151381288, 69381, 13, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), 105, 163, 58, Task: What is the object unloaded from the white truck with a flatboard trailer?, VIRAT_S_0500, A slow-down sign, A slow-down sign, True, Never
151362705, 69382, 14, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), 188, 316, 128, Task: The driver of this car gets out of the car and has a conversation with another person.What is the car that the other person gets into later?, VIRAT_S_0002, I could not find the answer within five minutes., Car 1, False, Never
151362705, 69382, 14, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), 188, 316, 128, Task: During which timeframe do you see this man unloading a blue shoulder bag from his car?, VIRAT_S_0002, 43:00 – 45:00, 43:00 – 45:00, True, Never
